filename,path,file type,size (bytes)
011084.csv,/pub10/ushcn_snow/R_input/AL,csv,2305500
012813.csv,/pub10/ushcn_snow/R_input/AL,csv,1705575
013160.csv,/pub10/ushcn_snow/R_input/AL,csv,1794624
013511.csv,/pub10/ushcn_snow/R_input/AL,csv,2407104
013816.csv,/pub10/ushcn_snow/R_input/AL,csv,2073750
015749.csv,/pub10/ushcn_snow/R_input/AL,csv,1635660
017157.csv,/pub10/ushcn_snow/R_input/AL,csv,2671650
017304.csv,/pub10/ushcn_snow/R_input/AL,csv,2574576
017366.csv,/pub10/ushcn_snow/R_input/AL,csv,2202424
018024.csv,/pub10/ushcn_snow/R_input/AL,csv,2114806
018178.csv,/pub10/ushcn_snow/R_input/AL,csv,2519376
018323.csv,/pub10/ushcn_snow/R_input/AL,csv,2257992
018380.csv,/pub10/ushcn_snow/R_input/AL,csv,1366211
018438.csv,/pub10/ushcn_snow/R_input/AL,csv,1868113
018469.csv,/pub10/ushcn_snow/R_input/AL,csv,2192701
030936.csv,/pub10/ushcn_snow/R_input/AR,csv,2282140
031596.csv,/pub10/ushcn_snow/R_input/AR,csv,2972416
031632.csv,/pub10/ushcn_snow/R_input/AR,csv,2339376
032356.csv,/pub10/ushcn_snow/R_input/AR,csv,2561188
032444.csv,/pub10/ushcn_snow/R_input/AR,csv,3469748
032930.csv,/pub10/ushcn_snow/R_input/AR,csv,2298590
034572.csv,/pub10/ushcn_snow/R_input/AR,csv,2244280
034756.csv,/pub10/ushcn_snow/R_input/AR,csv,2021778
035186.csv,/pub10/ushcn_snow/R_input/AR,csv,2471097
035512.csv,/pub10/ushcn_snow/R_input/AR,csv,461955
035754.csv,/pub10/ushcn_snow/R_input/AR,csv,3111696
035820.csv,/pub10/ushcn_snow/R_input/AR,csv,2389164
035908.csv,/pub10/ushcn_snow/R_input/AR,csv,2450316
036253.csv,/pub10/ushcn_snow/R_input/AR,csv,1396602
036928.csv,/pub10/ushcn_snow/R_input/AR,csv,2337996
020080.csv,/pub10/ushcn_snow/R_input/AZ,csv,2289365
021026.csv,/pub10/ushcn_snow/R_input/AZ,csv,2675889
021248.csv,/pub10/ushcn_snow/R_input/AZ,csv,1201824
021514.csv,/pub10/ushcn_snow/R_input/AZ,csv,1604772
021614.csv,/pub10/ushcn_snow/R_input/AZ,csv,2210612
023160.csv,/pub10/ushcn_snow/R_input/AZ,csv,2571975
023596.csv,/pub10/ushcn_snow/R_input/AZ,csv,969014
024089.csv,/pub10/ushcn_snow/R_input/AZ,csv,2832270
024645.csv,/pub10/ushcn_snow/R_input/AZ,csv,681480
024849.csv,/pub10/ushcn_snow/R_input/AZ,csv,2178504
025512.csv,/pub10/ushcn_snow/R_input/AZ,csv,2335151
026250.csv,/pub10/ushcn_snow/R_input/AZ,csv,2818600
026353.csv,/pub10/ushcn_snow/R_input/AZ,csv,1542079
026796.csv,/pub10/ushcn_snow/R_input/AZ,csv,2917110
027281.csv,/pub10/ushcn_snow/R_input/AZ,csv,2952950
027370.csv,/pub10/ushcn_snow/R_input/AZ,csv,2406651
027390.csv,/pub10/ushcn_snow/R_input/AZ,csv,2019780
027435.csv,/pub10/ushcn_snow/R_input/AZ,csv,2777942
027716.csv,/pub10/ushcn_snow/R_input/AZ,csv,2623390
028619.csv,/pub10/ushcn_snow/R_input/AZ,csv,2847029
028815.csv,/pub10/ushcn_snow/R_input/AZ,csv,2969568
029271.csv,/pub10/ushcn_snow/R_input/AZ,csv,2805264
029287.csv,/pub10/ushcn_snow/R_input/AZ,csv,2695464
029359.csv,/pub10/ushcn_snow/R_input/AZ,csv,2812950
029652.csv,/pub10/ushcn_snow/R_input/AZ,csv,2350502
040693.csv,/pub10/ushcn_snow/R_input/CA,csv,2350250
